Pair ID,Requirement,Actual Label,Predicted Label,Correct,Model Probability,SHAP Score %,LIME Score %,Validator Score %,Model Conf Penalty %,P3 Syntax %,P3 Semantic %,P3 Compliance %,P3 Edge Case %,SHAP Top Word,LIME Top Word,SHAP Contributions,LIME Contributions,XAI Disagreement,Final Score %,Risk Level,Hallucination Type,P3 Halluc Types,Security Impact,Compliance Violation
W3-071,Allow Grafana to query the Prometheus server on port 9090.,correct,correct,True,0.9157,19.5,8.42,0.0,8.43,0.0,0.0,0.0,0.0,on,on,"[('Allow', -0.0362), ('Grafana', -0.002), ('to', 0.029)]","[('on', -0.0168), ('port', -0.0128), ('Allow', 0.0098)]",AGREEMENT,8.24,SAFE,none,,Medium - potential policy violation,
W3-072,Deny direct access to the Kubernetes dashboard from outside the management VLAN.,correct,correct,True,0.8845,18.34,6.62,0.0,11.55,0.0,0.0,0.0,0.0,direct,the,"[('Deny', 0.004), ('direct', -0.0367), ('access', -0.0209)]","[('the', -0.0132), ('management', -0.0088), ('access', 0.0079)]",AGREEMENT,7.97,SAFE,none,,Medium - potential policy violation,
W3-073,Allow the ingress controller to forward HTTP traffic to backend pods on port 808,correct,correct,True,0.9076,17.92,7.59,0.0,9.24,0.0,0.0,0.0,0.0,the,HTTP,"[('Allow', -0.0102), ('the', 0.0358), ('ingress', 0.0)]","[('HTTP', 0.0152), ('to', -0.0152), ('on', -0.0133)]",AGREEMENT,7.76,SAFE,none,,Medium - potential policy violation,
W3-074,Permit the secrets manager to communicate with application pods on port 8200.,correct,correct,True,0.9439,14.84,4.31,0.0,5.61,0.0,0.0,0.0,0.0,port,port,"[('Permit', 0.0067), ('the', 0.0202), ('secrets', -0.0045)]","[('port', -0.0086), ('on', -0.0085), ('the', -0.0056)]",AGREEMENT,5.63,SAFE,none,,Medium - potential policy violation,
W3-075,Block all traffic to the message broker except from authorised microservices.,correct,correct,True,0.8793,18.18,10.14,0.0,12.07,0.0,0.0,0.0,0.0,Block,to,"[('Block', -0.0364), ('all', -0.0124), ('traffic', -0.0142)]","[('to', -0.0203), ('all', 0.0153), ('from', -0.0136)]",AGREEMENT,8.89,SAFE,none,,Medium - potential policy violation,
W3-076,Allow the log aggregator to receive logs from all pods on port 5044.,correct,correct,True,0.9342,16.81,4.58,0.0,6.58,0.0,0.0,0.0,0.0,the,on,"[('Allow', -0.0135), ('the', 0.0336), ('log', -0.0045)]","[('on', -0.0092), ('port', -0.0087), ('the', -0.0077)]",AGREEMENT,6.33,SAFE,none,,Medium - potential policy violation,
W3-077,Permit the artifact repository to serve packages to build agents on port 8081.,correct,correct,True,0.9523,18.7,6.15,0.0,4.77,0.0,0.0,0.0,0.0,on,on,"[('Permit', 0.0047), ('the', 0.0301), ('artifact', 0.0)]","[('on', -0.0123), ('port', -0.011), ('to', -0.0104)]",AGREEMENT,6.93,SAFE,none,,Medium - potential policy violation,
W3-078,Deny all traffic from the staging environment to the production database.,correct,correct,True,0.8988,13.41,9.36,0.0,10.12,0.0,0.0,0.0,0.0,from,to,"[('Deny', 0.014), ('all', -0.0058), ('traffic', -0.0113)]","[('to', -0.0187), ('production', -0.0178), ('database', 0.0153)]",AGREEMENT,7.21,SAFE,none,,Medium - potential policy violation,
W3-079,Allow the health check endpoint to be reachable from the load balancer only.,correct,correct,True,0.894,16.89,7.83,0.0,10.6,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.0095), ('the', 0.0338), ('health', 0.0099)]","[('the', -0.0157), ('only', 0.0096), ('to', -0.0053)]",AGREEMENT,7.77,SAFE,none,,Medium - potential policy violation,
W3-080,Permit outbound HTTPS traffic from application pods to external payment APIs.,correct,correct,True,0.7896,75.25,11.08,0.0,21.04,0.0,0.0,0.0,0.0,HTTPS,HTTPS,"[('Permit', 0.013), ('outbound', 0.0223), ('HTTPS', -0.1505)]","[('HTTPS', 0.0222), ('from', -0.0106), ('application', -0.0079)]",HIGH_DISAGREEMENT (gap=64.2%),24.74,SAFE,none,,Medium - potential policy violation,
W3-081,Block all inter-pod traffic except on explicitly whitelisted ports.,correct,correct,True,0.8289,24.32,18.32,0.0,17.11,0.0,0.0,0.0,0.0,except,except,"[('Block', -0.0359), ('all', -0.0081), ('inter-', 0.025)]","[('except', 0.0366), ('traffic', 0.0352), ('on', -0.0199)]",AGREEMENT,13.23,SAFE,none,,Medium - potential policy violation,
W3-082,Allow the backup agent to transfer snapshots to cloud storage over port 443.,correct,correct,True,0.9175,19.09,5.39,0.0,8.25,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.013), ('the', 0.0382), ('backup', 0.0051)]","[('the', -0.0108), ('to', -0.0103), ('port', -0.0085)]",AGREEMENT,7.36,SAFE,none,,Medium - potential policy violation,
W3-083,Deny all traffic from developer laptops to the production Kubernetes namespace.,correct,correct,True,0.9091,13.99,6.02,0.0,9.09,0.0,0.0,0.0,0.0,from,from,"[('Deny', 0.0139), ('all', -0.0056), ('traffic', -0.0113)]","[('from', -0.012), ('to', -0.0115), ('all', 0.0104)]",AGREEMENT,6.37,SAFE,none,,Medium - potential policy violation,
W3-084,Allow the service mesh sidecar to communicate with the control plane on port 150,correct,correct,True,0.952,14.4,5.19,0.0,4.8,0.0,0.0,0.0,0.0,port,on,"[('Allow', -0.0112), ('the', 0.0263), ('service', 0.0109)]","[('on', -0.0104), ('the', -0.0097), ('port', -0.0093)]",AGREEMENT,5.62,SAFE,none,,Medium - potential policy violation,
W3-085,Permit the autoscaler to query the metrics server on port 443.,correct,correct,True,0.9425,15.84,5.58,0.0,5.75,0.0,0.0,0.0,0.0,the,on,"[('Permit', 0.0007), ('the', 0.0317), ('autoscaler', 0.0)]","[('on', -0.0112), ('the', -0.0107), ('port', -0.0104)]",AGREEMENT,6.22,SAFE,none,,Medium - potential policy violation,
W3-086,Allow the container registry to pull base images over HTTPS.,correct,correct,True,0.7548,79.7,14.28,0.0,24.52,0.0,0.0,0.0,0.0,HTTPS,HTTPS,"[('Allow', -0.0143), ('the', 0.0538), ('container', -0.0207)]","[('HTTPS', 0.0286), ('container', 0.0214), ('registry', -0.0159)]",HIGH_DISAGREEMENT (gap=65.4%),27.17,SAFE,none,,Medium - potential policy violation,
W3-087,Block all traffic to the Redis cache except from the application tier.,correct,correct,True,0.8765,16.31,10.78,0.0,12.35,0.0,0.0,0.0,0.0,Block,the,"[('Block', -0.0326), ('all', -0.0126), ('traffic', -0.0107)]","[('the', -0.0216), ('to', -0.0215), ('all', 0.0175)]",AGREEMENT,8.62,SAFE,none,,Medium - potential policy violation,
W3-088,Allow the Kafka consumer to receive messages from the broker on port 9092.,correct,correct,True,0.9422,21.71,6.17,0.0,5.78,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.0173), ('the', 0.0434), ('Kafka', 0.0)]","[('the', -0.0123), ('on', -0.0116), ('port', -0.0103)]",AGREEMENT,7.84,SAFE,none,,Medium - potential policy violation,
W3-089,Permit the API gateway to route requests to the authentication service.,correct,correct,True,0.9016,31.76,6.61,0.0,9.84,0.0,0.0,0.0,0.0,requests,the,"[('Permit', 0.0092), ('the', 0.0303), ('API', 0.0063)]","[('the', -0.0132), ('to', -0.0102), ('requests', 0.01)]",MODERATE_DISAGREEMENT (gap=25.2%),11.07,SAFE,none,,Medium - potential policy violation,
W3-090,Deny all outbound traffic from the database pod except to the backup service.,correct,correct,True,0.899,17.88,10.0,0.0,10.1,0.0,0.0,0.0,0.0,database,database,"[('Deny', 0.0125), ('all', 0.011), ('outbound', 0.0209)]","[('database', 0.02), ('from', -0.0113), ('service', -0.0103)]",AGREEMENT,8.48,SAFE,none,,Medium - potential policy violation,
W3-091,Allow the monitoring agent to push alerts to PagerDuty over HTTPS.,correct,correct,True,0.833,72.92,12.81,0.0,16.7,0.0,0.0,0.0,0.0,HTTPS,HTTPS,"[('Allow', -0.0167), ('the', 0.0574), ('monitoring', 0.0118)]","[('HTTPS', 0.0256), ('to', -0.0207), ('the', -0.0153)]",HIGH_DISAGREEMENT (gap=60.1%),23.94,SAFE,none,,Medium - potential policy violation,
W3-092,Block all SSH access to production nodes except from the bastion host.,correct,correct,True,0.8547,15.36,6.66,0.0,14.53,0.0,0.0,0.0,0.0,Block,SSH,"[('Block', -0.0307), ('all', -0.0034), ('SSH', -0.0109)]","[('SSH', 0.0133), ('Block', 0.0124), ('except', 0.0102)]",AGREEMENT,7.68,SAFE,none,,Medium - potential policy violation,
W3-093,Allow the feature flag service to be queried by all application services.,correct,correct,True,0.884,30.22,17.09,0.0,11.6,0.0,0.0,0.0,0.0,by,by,"[('Allow', -0.0183), ('the', 0.0554), ('feature', 0.0001)]","[('by', 0.0342), ('the', -0.0196), ('service', -0.0178)]",AGREEMENT,13.57,SAFE,none,,Medium - potential policy violation,
W3-094,Permit the CDN edge nodes to pull content from the origin server.,correct,correct,True,0.8977,18.08,7.61,0.0,10.23,0.0,0.0,0.0,0.0,the,the,"[('Permit', 0.0124), ('the', 0.0362), ('CDN', 0.0)]","[('the', -0.0152), ('pull', 0.0071), ('to', -0.0047)]",AGREEMENT,7.96,SAFE,none,,Medium - potential policy violation,
W3-095,Deny all traffic to the configuration service except from internal services.,correct,correct,True,0.9179,13.66,7.26,0.0,8.21,0.0,0.0,0.0,0.0,to,to,"[('Deny', 0.0145), ('all', -0.0039), ('traffic', -0.0197)]","[('to', -0.0145), ('traffic', 0.011), ('internal', -0.0102)]",AGREEMENT,6.46,SAFE,none,,Medium - potential policy violation,
W3-096,Allow all traffic within the production namespace for inter-service communicatio,correct,correct,True,0.8051,40.77,24.59,0.0,19.49,0.0,0.0,0.0,0.0,Allow,all,"[('Allow', -0.0815), ('all', -0.0517), ('traffic', -0.0168)]","[('all', 0.0492), ('Allow', 0.0472), ('for', 0.0304)]",AGREEMENT,19.26,SAFE,none,,Medium - potential policy violation,
W3-097,Permit unrestricted access between microservices for debugging purposes.,correct,correct,True,0.7991,24.55,19.64,0.0,20.09,0.0,0.0,0.0,0.0,for,for,"[('Permit', 0.011), ('unrestricted', 0.0), ('access', -0.0145)]","[('for', 0.0393), ('microservices', -0.0246), ('purposes', 0.0167)]",AGREEMENT,14.06,SAFE,none,,Medium - potential policy violation,
W3-098,Block all external traffic to the admin API.,correct,correct,True,0.8337,19.19,10.23,0.0,16.63,0.0,0.0,0.0,0.0,Block,to,"[('Block', -0.0384), ('all', 0.0189), ('external', -0.0104)]","[('to', -0.0205), ('external', -0.0146), ('Block', 0.0135)]",AGREEMENT,9.85,SAFE,none,,Medium - potential policy violation,
W3-099,Allow the developer environment full access to all internal APIs.,correct,correct,True,0.9016,26.1,8.86,0.0,9.84,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.0185), ('the', 0.0522), ('developer', 0.0066)]","[('the', -0.0177), ('internal', -0.0165), ('access', 0.0097)]",AGREEMENT,10.22,SAFE,none,,Medium - potential policy violation,
W3-100,Deny access to the secrets vault from all external sources.,correct,correct,True,0.866,19.3,5.51,0.0,13.4,0.0,0.0,0.0,0.0,all,the,"[('Deny', 0.0144), ('access', -0.0278), ('to', 0.0102)]","[('the', -0.011), ('access', 0.0102), ('from', -0.0092)]",AGREEMENT,8.21,SAFE,none,,Medium - potential policy violation,
W3-101,Allow all outbound connections from the worker nodes.,correct,correct,True,0.8235,40.18,26.17,0.0,17.65,0.0,0.0,0.0,0.0,Allow,Allow,"[('Allow', -0.0804), ('all', -0.0272), ('outbound', 0.0692)]","[('Allow', 0.0523), ('all', 0.0372), ('connections', 0.0363)]",AGREEMENT,19.24,SAFE,none,,Medium - potential policy violation,
W3-102,Permit the entire engineering team to SSH into production servers.,correct,correct,True,0.9128,16.07,5.06,0.0,8.72,0.0,0.0,0.0,0.0,the,the,"[('Permit', 0.0094), ('the', 0.0321), ('entire', -0.0028)]","[('the', -0.0101), ('SSH', 0.0084), ('to', -0.0068)]",AGREEMENT,6.59,SAFE,none,,Medium - potential policy violation,
W3-103,Block all connections to the legacy service.,correct,correct,True,0.8657,25.78,17.34,0.0,13.43,0.0,0.0,0.0,0.0,connections,connections,"[('Block', -0.0366), ('all', -0.0033), ('connections', -0.0516)]","[('connections', 0.0347), ('to', -0.0272), ('service', -0.0197)]",AGREEMENT,12.79,SAFE,none,,Medium - potential policy violation,
W3-104,Allow the QA environment to replicate the production database.,correct,correct,True,0.8972,29.07,8.02,0.0,10.28,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.0201), ('the', 0.0581), ('QA', 0.0007)]","[('the', -0.016), ('to', -0.0159), ('production', -0.0158)]",MODERATE_DISAGREEMENT (gap=21.1%),10.81,SAFE,none,,Medium - potential policy violation,
W3-105,Deny all traffic from the DMZ to core banking services.,correct,correct,True,0.9057,13.22,5.95,0.0,9.43,0.0,0.0,0.0,0.0,from,from,"[('Deny', 0.0141), ('all', -0.0056), ('traffic', -0.0113)]","[('from', -0.0119), ('all', 0.0116), ('traffic', 0.0099)]",AGREEMENT,6.21,SAFE,none,,Medium - potential policy violation,
W4-106,Allow the domain controller to replicate Active Directory data to secondary DCs ,correct,correct,True,0.912,15.74,9.29,0.0,8.8,0.0,0.0,0.0,0.0,domain,domain,"[('Allow', -0.0097), ('the', 0.0254), ('domain', -0.0315)]","[('domain', 0.0186), ('on', -0.0124), ('port', -0.0117)]",AGREEMENT,7.58,SAFE,none,,Medium - potential policy violation,
W4-107,Deny all traffic from personal devices to the corporate financial systems.,correct,correct,True,0.9141,13.65,6.31,0.0,8.59,0.0,0.0,0.0,0.0,from,financial,"[('Deny', 0.0137), ('all', -0.0052), ('traffic', -0.0109)]","[('financial', 0.0126), ('the', -0.0124), ('from', -0.0123)]",AGREEMENT,6.28,SAFE,none,,Medium - potential policy violation,
W4-108,Allow the print server to receive jobs from workstations on port 9100.,correct,correct,True,0.9259,17.18,4.99,0.0,7.41,0.0,0.0,0.0,0.0,the,on,"[('Allow', -0.0102), ('the', 0.0344), ('print', -0.001)]","[('on', -0.01), ('port', -0.0097), ('the', -0.0095)]",AGREEMENT,6.65,SAFE,none,,Medium - potential policy violation,
W4-109,Permit the backup server to access all file servers on port 445 for nightly back,correct,correct,True,0.905,16.61,7.94,0.0,9.5,0.0,0.0,0.0,0.0,on,for,"[('Permit', 0.0093), ('the', 0.0262), ('backup', 0.0115)]","[('for', 0.0159), ('on', -0.0137), ('the', -0.01)]",AGREEMENT,7.56,SAFE,none,,Medium - potential policy violation,
W4-110,Block all outbound traffic from kiosk terminals except to the kiosk management s,correct,correct,True,0.8887,13.54,6.4,0.0,11.13,0.0,0.0,0.0,0.0,outbound,from,"[('Block', -0.0255), ('all', 0.0029), ('outbound', 0.0271)]","[('from', -0.0128), ('outbound', -0.0107), ('to', -0.0099)]",AGREEMENT,6.65,SAFE,none,,Medium - potential policy violation,
W4-111,Allow the patch management server to push updates to all endpoints on port 8530.,correct,correct,True,0.9354,17.32,5.87,0.0,6.46,0.0,0.0,0.0,0.0,the,on,"[('Allow', -0.0115), ('the', 0.0346), ('patch', 0.0006)]","[('on', -0.0117), ('port', -0.0106), ('the', -0.0102)]",AGREEMENT,6.77,SAFE,none,,Medium - potential policy violation,
W4-112,Deny all traffic from contractor VLANs to internal source code repositories.,correct,correct,True,0.9046,14.44,8.88,0.0,9.54,0.0,0.0,0.0,0.0,from,internal,"[('Deny', 0.0149), ('all', -0.0052), ('traffic', -0.0112)]","[('internal', -0.0178), ('from', -0.0145), ('to', -0.0135)]",AGREEMENT,7.26,SAFE,none,,Medium - potential policy violation,
W4-113,Allow the email gateway to relay messages to the internal mail server on port 25,correct,correct,True,0.925,16.26,5.06,0.0,7.5,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.0088), ('the', 0.0325), ('email', -0.0182)]","[('the', -0.0101), ('on', -0.0098), ('to', -0.009)]",AGREEMENT,6.46,SAFE,none,,Medium - potential policy violation,
W4-114,Permit the RADIUS server to authenticate VPN users on port 1812.,correct,correct,True,0.9358,19.66,6.03,0.0,6.42,0.0,0.0,0.0,0.0,the,on,"[('Permit', 0.0142), ('the', 0.0393), ('RADIUS', 0.0)]","[('on', -0.0121), ('port', -0.011), ('the', -0.0087)]",AGREEMENT,7.39,SAFE,none,,Medium - potential policy violation,
W4-115,Block all traffic from unregistered MAC addresses to the corporate wireless netw,correct,correct,True,0.8858,21.19,10.31,0.0,11.42,0.0,0.0,0.0,0.0,Block,all,"[('Block', -0.0424), ('all', -0.0173), ('traffic', -0.0084)]","[('all', 0.0206), ('from', -0.0202), ('the', -0.0178)]",AGREEMENT,9.59,SAFE,none,,Medium - potential policy violation,
W4-116,Allow the certificate authority to issue certificates to internal servers on por,correct,correct,True,0.9471,18.61,5.11,0.0,5.29,0.0,0.0,0.0,0.0,the,on,"[('Allow', -0.0137), ('the', 0.0372), ('certificate', -0.0086)]","[('on', -0.0102), ('to', -0.01), ('the', -0.0098)]",AGREEMENT,6.72,SAFE,none,,Medium - potential policy violation,
W4-117,Deny all outbound SMTP traffic except from the authorised mail relay.,correct,correct,True,0.8448,22.74,15.08,0.0,15.52,0.0,0.0,0.0,0.0,except,except,"[('Deny', 0.0172), ('all', 0.0124), ('outbound', 0.0116)]","[('except', 0.0302), ('traffic', 0.0271), ('authorised', -0.0128)]",AGREEMENT,11.78,SAFE,none,,Medium - potential policy violation,
W4-118,Allow the vulnerability scanner to probe all hosts in the 10.0.0.0/8 range.,correct,correct,True,0.9189,18.51,10.72,0.0,8.11,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.0113), ('the', 0.037), ('vulnerability', 0.0)]","[('the', -0.0214), ('in', -0.0097), ('to', -0.0073)]",AGREEMENT,8.52,SAFE,none,,Medium - potential policy violation,
W4-119,Permit the DLP appliance to inspect all outbound email traffic on port 25.,correct,correct,True,0.9261,15.09,6.44,0.0,7.39,0.0,0.0,0.0,0.0,the,on,"[('Permit', 0.0072), ('the', 0.0302), ('DLP', 0.0)]","[('on', -0.0129), ('port', -0.0116), ('the', -0.0095)]",AGREEMENT,6.49,SAFE,none,,Medium - potential policy violation,
W4-120,Block all inbound traffic on port 3389 except from the jump server subnet.,correct,correct,True,0.8615,19.7,11.98,0.0,13.85,0.0,0.0,0.0,0.0,on,on,"[('Block', -0.0264), ('all', -0.0178), ('inbound', -0.0277)]","[('on', -0.024), ('all', 0.0229), ('inbound', 0.0224)]",AGREEMENT,10.0,SAFE,none,,Medium - potential policy violation,
W4-121,Allow the HR application to query the employee directory on port 389.,correct,correct,True,0.9327,17.47,6.06,0.0,6.73,0.0,0.0,0.0,0.0,on,the,"[('Allow', -0.0101), ('the', 0.0299), ('HR', 0.0002)]","[('the', -0.0121), ('on', -0.0102), ('port', -0.0092)]",AGREEMENT,6.89,SAFE,none,,Medium - potential policy violation,
W4-122,Deny all traffic between the guest network and the corporate wired network.,correct,correct,True,0.8681,16.8,9.27,0.0,13.19,0.0,0.0,0.0,0.0,and,traffic,"[('Deny', 0.0132), ('all', -0.0031), ('traffic', -0.0196)]","[('traffic', 0.0185), ('and', 0.018), ('network', -0.0162)]",AGREEMENT,8.5,SAFE,none,,Medium - potential policy violation,
W4-123,Allow the ticketing system to send notifications via SMTP on port 587.,correct,correct,True,0.8782,26.91,7.86,0.0,12.18,0.0,0.0,0.0,0.0,send,on,"[('Allow', -0.0106), ('the', 0.0451), ('ticketing', 0.0)]","[('on', -0.0157), ('the', -0.0136), ('send', 0.0116)]",AGREEMENT,10.52,SAFE,none,,Medium - potential policy violation,
W4-124,Permit the network management system to poll all routers via SNMP on port 161.,correct,correct,True,0.9404,14.62,4.87,0.0,5.96,0.0,0.0,0.0,0.0,port,on,"[('Permit', 0.0065), ('the', 0.0199), ('network', 0.0028)]","[('on', -0.0097), ('port', -0.0088), ('the', -0.0068)]",AGREEMENT,5.77,SAFE,none,,Medium - potential policy violation,
W4-125,Block all traffic to the payroll database except from the payroll application se,correct,correct,True,0.8692,12.82,10.94,0.0,13.08,0.0,0.0,0.0,0.0,Block,payroll,"[('Block', -0.0256), ('all', -0.0099), ('traffic', -0.0078)]","[('payroll', -0.0219), ('to', -0.0155), ('all', 0.0136)]",AGREEMENT,7.9,SAFE,none,,Medium - potential policy violation,
W4-126,Allow the domain controller to serve DNS queries to internal clients.,correct,correct,True,0.8909,21.14,11.97,0.0,10.91,0.0,0.0,0.0,0.0,the,domain,"[('Allow', -0.0176), ('the', 0.0423), ('domain', -0.0416)]","[('domain', 0.0239), ('to', -0.019), ('internal', -0.014)]",AGREEMENT,9.91,SAFE,none,,Medium - potential policy violation,
W4-127,Block all FTP uploads to the file transfer server from external partners.,correct,correct,True,0.7379,36.85,19.29,0.0,26.21,0.0,0.0,0.0,0.0,external,FTP,"[('Block', -0.0326), ('all', 0.0015), ('FTP', -0.0375)]","[('FTP', 0.0386), ('to', -0.0192), ('the', -0.0177)]",AGREEMENT,17.97,SAFE,none,,Medium - potential policy violation,
W4-128,Allow the monitoring system to receive SNMP traps from network devices.,correct,correct,True,0.9304,24.47,5.45,0.0,6.96,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.019), ('the', 0.0489), ('monitoring', 0.003)]","[('the', -0.0109), ('to', -0.0103), ('from', -0.005)]",AGREEMENT,8.52,SAFE,none,,Medium - potential policy violation,
W4-129,Permit the time synchronisation service to update all servers.,correct,correct,True,0.9251,15.34,5.02,0.0,7.49,0.0,0.0,0.0,0.0,the,the,"[('Permit', 0.0091), ('the', 0.0307), ('time', -0.005)]","[('the', -0.01), ('service', -0.0085), ('to', -0.0083)]",AGREEMENT,6.21,SAFE,none,,Medium - potential policy violation,
W4-130,Deny all inbound traffic to the LDAP server except from the application tier.,correct,correct,True,0.8716,13.95,11.12,0.0,12.84,0.0,0.0,0.0,0.0,inbound,the,"[('Deny', 0.0131), ('all', -0.0085), ('inbound', -0.0279)]","[('the', -0.0222), ('inbound', 0.0205), ('to', -0.0183)]",AGREEMENT,8.19,SAFE,none,,Medium - potential policy violation,
W4-131,Allow the security information and event management system to collect syslogs.,correct,correct,True,0.9131,22.11,7.53,0.0,8.69,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.0112), ('the', 0.0442), ('security', 0.0125)]","[('the', -0.0151), ('and', 0.0143), ('to', -0.0127)]",AGREEMENT,8.71,SAFE,none,,Medium - potential policy violation,
W4-132,Block all access to the privileged access workstations except for security team.,correct,correct,True,0.857,18.99,11.97,0.0,14.3,0.0,0.0,0.0,0.0,for,for,"[('Block', -0.0273), ('all', 0.0038), ('access', -0.0143)]","[('for', 0.0239), ('the', -0.0126), ('team', -0.0124)]",AGREEMENT,9.88,SAFE,none,,Medium - potential policy violation,
W4-133,Allow the network printer to receive print jobs from the office VLAN.,correct,correct,True,0.9186,19.06,7.48,0.0,8.14,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.0126), ('the', 0.0381), ('network', 0.0051)]","[('the', -0.015), ('to', -0.0081), ('receive', -0.0051)]",AGREEMENT,7.86,SAFE,none,,Medium - potential policy violation,
W4-134,Permit the storage area network to replicate data to the disaster recovery site.,correct,correct,True,0.9278,10.95,5.44,0.0,7.22,0.0,0.0,0.0,0.0,the,the,"[('Permit', 0.0079), ('the', 0.0219), ('storage', 0.0006)]","[('the', -0.0109), ('to', -0.0094), ('Permit', -0.0028)]",AGREEMENT,5.18,SAFE,none,,Medium - potential policy violation,
W4-135,Deny all traffic from the partner extranet to internal financial applications.,correct,correct,True,0.9077,15.69,11.92,0.0,9.23,0.0,0.0,0.0,0.0,internal,internal,"[('Deny', 0.0137), ('all', -0.0055), ('traffic', -0.0111)]","[('internal', -0.0238), ('financial', 0.0149), ('from', -0.0125)]",AGREEMENT,8.29,SAFE,none,,Medium - potential policy violation,
W4-136,Allow all internal users to access the admin console for convenience.,correct,correct,True,0.8186,37.6,22.94,0.0,18.14,0.0,0.0,0.0,0.0,Allow,Allow,"[('Allow', -0.0752), ('all', -0.0281), ('internal', 0.0612)]","[('Allow', 0.0459), ('internal', -0.0352), ('all', 0.0303)]",AGREEMENT,17.86,SAFE,none,,Medium - potential policy violation,
W4-137,Permit all traffic between the head office and branch offices.,correct,correct,True,0.8611,18.04,10.0,0.0,13.89,0.0,0.0,0.0,0.0,and,traffic,"[('Permit', 0.0117), ('all', -0.0062), ('traffic', -0.0179)]","[('traffic', 0.02), ('and', 0.0173), ('branch', -0.0143)]",AGREEMENT,9.09,SAFE,none,,Medium - potential policy violation,
W4-138,Block all external access to the internal wiki.,correct,correct,True,0.8362,20.13,8.75,0.0,16.38,0.0,0.0,0.0,0.0,Block,internal,"[('Block', -0.0403), ('all', 0.0213), ('external', -0.0271)]","[('internal', -0.0175), ('Block', 0.015), ('access', 0.0109)]",AGREEMENT,9.68,SAFE,none,,Medium - potential policy violation,
W4-139,Allow the on-call engineer to access all systems remotely.,correct,correct,True,0.9217,26.6,8.82,0.0,7.83,0.0,0.0,0.0,0.0,the,the,"[('Allow', -0.0241), ('the', 0.0532), ('on-', 0.0329)]","[('the', -0.0176), ('on', -0.0138), ('to', -0.0135)]",AGREEMENT,10.03,SAFE,none,,Medium - potential policy violation,
W4-140,Deny all traffic from the old data centre.,correct,correct,True,0.897,13.91,8.52,0.0,10.3,0.0,0.0,0.0,0.0,the,from,"[('Deny', 0.015), ('all', -0.0057), ('traffic', -0.0117)]","[('from', -0.017), ('all', 0.0153), ('traffic', 0.0131)]",AGREEMENT,7.15,SAFE,none,,Medium - potential policy violation,
W4-141,Allow the service account to connect to any database in the environment.,correct,correct,True,0.8732,26.93,15.07,0.0,12.68,0.0,0.0,0.0,0.0,any,the,"[('Allow', -0.0107), ('the', 0.0341), ('service', 0.0282)]","[('the', -0.0301), ('any', 0.0258), ('to', -0.0157)]",AGREEMENT,12.4,SAFE,none,,Medium - potential policy violation,
W4-142,Permit all traffic on the management VLAN for operational purposes.,correct,correct,True,0.8693,17.54,13.16,0.0,13.07,0.0,0.0,0.0,0.0,for,for,"[('Permit', 0.0117), ('all', -0.0058), ('traffic', -0.023)]","[('for', 0.0263), ('management', -0.0232), ('on', -0.0193)]",AGREEMENT,9.64,SAFE,none,,Medium - potential policy violation,
W4-143,Block all outbound traffic from the POS terminals.,correct,correct,True,0.8864,20.75,10.86,0.0,11.36,0.0,0.0,0.0,0.0,outbound,outbound,"[('Block', -0.0392), ('all', 0.0038), ('outbound', 0.0415)]","[('outbound', -0.0217), ('from', -0.019), ('Block', 0.0173)]",AGREEMENT,9.61,SAFE,none,,Medium - potential policy violation,
W4-144,Allow the legacy application to communicate with any internal service it needs.,correct,correct,True,0.916,23.5,9.91,0.0,8.4,0.0,0.0,0.0,0.0,any,any,"[('Allow', -0.0109), ('the', 0.0338), ('legacy', -0.0004)]","[('any', 0.0198), ('the', -0.0135), ('internal', -0.0095)]",AGREEMENT,9.61,SAFE,none,,Medium - potential policy violation,
W4-145,Deny all traffic from the third-party audit firm to production systems.,correct,correct,True,0.9102,12.24,6.88,0.0,8.98,0.0,0.0,0.0,0.0,to,from,"[('Deny', 0.0111), ('all', -0.0054), ('traffic', -0.0099)]","[('from', -0.0138), ('all', 0.013), ('traffic', 0.0117)]",AGREEMENT,6.13,SAFE,none,,Medium - potential policy violation,
W4-146,Allow encrypted communication between the application servers and the HSM on por,correct,correct,True,0.9016,22.71,8.68,0.0,9.84,0.0,0.0,0.0,0.0,and,on,"[('Allow', -0.0169), ('encrypted', 0.0111), ('communication', -0.0105)]","[('on', -0.0174), ('and', 0.0168), ('port', -0.0161)]",AGREEMENT,9.32,SAFE,none,,Medium - potential policy violation,
W4-147,Deny all traffic from IoT sensors to the corporate IT network.,correct,correct,True,0.9156,13.64,5.33,0.0,8.44,0.0,0.0,0.0,0.0,from,from,"[('Deny', 0.0139), ('all', -0.005), ('traffic', -0.0107)]","[('from', -0.0107), ('to', -0.0102), ('all', 0.0099)]",AGREEMENT,6.01,SAFE,none,,Medium - potential policy violation,
