record_id,shap_top_feature,shap_top_value,lime_top_feature,lime_top_value,agreement_score,agreement_tier,label,decision,risk_score,ensemble_confidence,ground_truth,shap_top_k,lime_top_k,lime_source,status,overlap_features,shap_only_features,lime_only_features,interpretation
W2-053,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'dst_port_is_any']",real,STRONG_AGREEMENT,"['action_enc', 'compliance_severity', 'confidence', 'semantic_score']",['reasoning_length'],['dst_port_is_any'],"Both methods consistently identify ['action_enc', 'compliance_severity', 'confidence', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-054,,,,,0.4286,,,,0.5,0.7372,correct,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'direction_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['action_enc', 'direction_enc']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['action_enc', 'direction_enc']. Moderate reliability."
W2-055,,,,,1.0,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'action_enc']",real,STRONG_AGREEMENT,"['action_enc', 'compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",[],[],"Both methods consistently identify ['action_enc', 'compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-056,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'action_enc']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'dst_port_is_any']",real,STRONG_AGREEMENT,"['action_enc', 'compliance_severity', 'confidence', 'semantic_score']",['dst_is_any'],['dst_port_is_any'],"Both methods consistently identify ['action_enc', 'compliance_severity', 'confidence', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-057,,,,,0.6667,,,,0.5,0.7077,correct,"['confidence', 'semantic_score', 'compliance_severity', 'dst_is_any', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'dst_is_any', 'action_enc']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['reasoning_length'],['action_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-058,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'src_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'src_is_any', 'dst_port_numeric']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score', 'src_is_any']",['dst_is_any'],['dst_port_numeric'],"Both methods consistently identify ['compliance_severity', 'confidence', 'semantic_score', 'src_is_any'] as primary risk drivers. High explanation reliability."
W2-059,,,,,0.6667,,,,0.5,0.6695,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'protocol_enc', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'src_is_any', 'protocol_enc']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'protocol_enc', 'semantic_score']",['dst_is_any'],['src_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'protocol_enc', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-060,,,,,0.4286,,,,0.5,0.6465,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'reasoning_length']","['semantic_score', 'confidence', 'compliance_severity', 'direction_enc', 'dst_port_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['direction_enc', 'dst_port_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['direction_enc', 'dst_port_is_any']. Moderate reliability."
W2-061,,,,,0.6667,,,,0.5,0.6167,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'dst_port_is_any', 'dst_port_numeric']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score']",['reasoning_length'],['dst_port_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score'] as primary risk drivers. High explanation reliability."
W2-062,,,,,0.4286,,,,0.5,0.7903,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'action_enc', 'reasoning_length']","['compliance_severity', 'dst_port_numeric', 'confidence', 'reasoning_length', 'dst_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length']","['action_enc', 'semantic_score']","['dst_is_any', 'dst_port_numeric']","Methods agree on ['compliance_severity', 'confidence', 'reasoning_length'] but diverge: SHAP additionally flags ['action_enc', 'semantic_score'], LIME flags ['dst_is_any', 'dst_port_numeric']. Moderate reliability."
W2-063,,,,,0.4286,,,,0.5,0.554,dangerous,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'reasoning_length']","['compliance_severity', 'confidence', 'semantic_score', 'dst_port_numeric', 'protocol_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'reasoning_length']","['dst_port_numeric', 'protocol_enc']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'reasoning_length'], LIME flags ['dst_port_numeric', 'protocol_enc']. Moderate reliability."
W2-064,,,,,0.4286,,,,0.5,0.6572,correct,"['confidence', 'semantic_score', 'compliance_severity', 'dst_port_numeric', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'action_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'dst_port_numeric']","['action_enc', 'reasoning_length']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'dst_port_numeric'], LIME flags ['action_enc', 'reasoning_length']. Moderate reliability."
W2-065,,,,,0.6667,,,,0.5,0.7018,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'reasoning_length', 'action_enc']","['confidence', 'semantic_score', 'compliance_severity', 'dst_is_any', 'reasoning_length']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['action_enc'],['dst_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-066,,,,,0.4286,,,,0.5,0.7223,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'has_complete_cot', 'compliance_severity', 'syntax_valid']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['has_complete_cot', 'syntax_valid']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['has_complete_cot', 'syntax_valid']. Moderate reliability."
W3-067,,,,,0.6667,,,,0.5,0.7211,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['compliance_severity', 'confidence', 'reasoning_length', 'edge_case_count', 'semantic_score']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_is_any'],['edge_case_count'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-068,,,,,0.4286,,,,0.5,0.73,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_numeric']","['confidence', 'semantic_score', 'src_port_is_any', 'priority_norm', 'compliance_severity']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_port_numeric', 'reasoning_length']","['priority_norm', 'src_port_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_port_numeric', 'reasoning_length'], LIME flags ['priority_norm', 'src_port_is_any']. Moderate reliability."
W3-069,,,,,0.4286,,,,0.5,0.7255,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'compliance_severity', 'priority_norm', 'action_enc', 'reasoning_length']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length']","['dst_is_any', 'semantic_score']","['action_enc', 'priority_norm']","Methods agree on ['compliance_severity', 'confidence', 'reasoning_length'] but diverge: SHAP additionally flags ['dst_is_any', 'semantic_score'], LIME flags ['action_enc', 'priority_norm']. Moderate reliability."
W3-070,,,,,0.4286,,,,0.5,0.5767,,"['confidence', 'compliance_severity', 'semantic_score', 'reasoning_length', 'dst_is_any']","['semantic_score', 'protocol_enc', 'confidence', 'has_complete_cot', 'compliance_severity']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['has_complete_cot', 'protocol_enc']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['has_complete_cot', 'protocol_enc']. Moderate reliability."
W3-071,,,,,0.4286,,,,0.5,0.7287,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_numeric']","['confidence', 'semantic_score', 'dst_is_any', 'compliance_severity', 'syntax_valid']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_port_numeric', 'reasoning_length']","['dst_is_any', 'syntax_valid']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_port_numeric', 'reasoning_length'], LIME flags ['dst_is_any', 'syntax_valid']. Moderate reliability."
W3-072,,,,,0.6667,,,,0.5,0.7198,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'priority_norm', 'reasoning_length']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_is_any'],['priority_norm'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-073,,,,,0.4286,,,,0.5,0.5416,,"['confidence', 'compliance_severity', 'semantic_score', 'reasoning_length', 'dst_is_any']","['compliance_severity', 'confidence', 'semantic_score', 'dst_port_is_any', 'direction_enc']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['direction_enc', 'dst_port_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['direction_enc', 'dst_port_is_any']. Moderate reliability."
W3-074,,,,,0.25,,,,0.5,0.7182,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['semantic_score', 'confidence', 'src_port_is_any', 'has_complete_cot', 'priority_norm']",simulated,DISAGREEMENT,"['confidence', 'semantic_score']","['compliance_severity', 'dst_is_any', 'reasoning_length']","['has_complete_cot', 'priority_norm', 'src_port_is_any']","Significant divergence. SHAP attributes risk to ['compliance_severity', 'dst_is_any', 'reasoning_length'], LIME to ['has_complete_cot', 'priority_norm', 'src_port_is_any']. Policy requires manual review."
W3-075,,,,,0.6667,,,,0.5,0.5868,,"['confidence', 'compliance_severity', 'semantic_score', 'reasoning_length', 'dst_is_any']","['compliance_severity', 'confidence', 'semantic_score', 'protocol_enc', 'reasoning_length']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_is_any'],['protocol_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-076,,,,,0.6667,,,,0.5,0.7202,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_numeric']","['confidence', 'semantic_score', 'dst_port_is_any', 'dst_port_numeric', 'compliance_severity']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score']",['reasoning_length'],['dst_port_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-077,,,,,0.4286,,,,0.5,0.7146,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['semantic_score', 'confidence', 'reasoning_length', 'priority_norm', 'syntax_valid']",simulated,PARTIAL_AGREEMENT,"['confidence', 'reasoning_length', 'semantic_score']","['compliance_severity', 'dst_is_any']","['priority_norm', 'syntax_valid']","Methods agree on ['confidence', 'reasoning_length', 'semantic_score'] but diverge: SHAP additionally flags ['compliance_severity', 'dst_is_any'], LIME flags ['priority_norm', 'syntax_valid']. Moderate reliability."
W3-078,,,,,0.6667,,,,0.5,0.7239,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['semantic_score', 'confidence', 'reasoning_length', 'dst_is_any', 'priority_norm']",simulated,STRONG_AGREEMENT,"['confidence', 'dst_is_any', 'reasoning_length', 'semantic_score']",['compliance_severity'],['priority_norm'],"Both methods consistently identify ['confidence', 'dst_is_any', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-079,,,,,0.6667,,,,0.5,0.5796,,"['confidence', 'compliance_severity', 'semantic_score', 'reasoning_length', 'dst_is_any']","['confidence', 'compliance_severity', 'dst_is_any', 'has_complete_cot', 'semantic_score']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['reasoning_length'],['has_complete_cot'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-080,,,,,0.4286,,,,0.5,0.5424,,"['confidence', 'compliance_severity', 'semantic_score', 'reasoning_length', 'dst_is_any']","['confidence', 'compliance_severity', 'semantic_score', 'action_enc', 'src_is_any']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['action_enc', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['action_enc', 'src_is_any']. Moderate reliability."
W3-081,,,,,0.4286,,,,0.5,0.5901,,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_port_numeric']","['compliance_severity', 'reasoning_length', 'confidence', 'syntax_valid', 'src_is_any']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length']","['dst_port_numeric', 'semantic_score']","['src_is_any', 'syntax_valid']","Methods agree on ['compliance_severity', 'confidence', 'reasoning_length'] but diverge: SHAP additionally flags ['dst_port_numeric', 'semantic_score'], LIME flags ['src_is_any', 'syntax_valid']. Moderate reliability."
W3-082,,,,,0.25,,,,0.5,0.7267,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'dst_port_numeric', 'has_complete_cot', 'syntax_valid', 'semantic_score']",simulated,DISAGREEMENT,"['confidence', 'semantic_score']","['compliance_severity', 'dst_is_any', 'reasoning_length']","['dst_port_numeric', 'has_complete_cot', 'syntax_valid']","Significant divergence. SHAP attributes risk to ['compliance_severity', 'dst_is_any', 'reasoning_length'], LIME to ['dst_port_numeric', 'has_complete_cot', 'syntax_valid']. Policy requires manual review."
W3-083,,,,,0.6667,,,,0.5,0.7291,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'compliance_severity', 'semantic_score', 'dst_is_any', 'edge_case_count']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['reasoning_length'],['edge_case_count'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-084,,,,,0.4286,,,,0.5,0.7267,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['semantic_score', 'confidence', 'reasoning_length', 'dst_port_is_any', 'action_enc']",simulated,PARTIAL_AGREEMENT,"['confidence', 'reasoning_length', 'semantic_score']","['compliance_severity', 'dst_is_any']","['action_enc', 'dst_port_is_any']","Methods agree on ['confidence', 'reasoning_length', 'semantic_score'] but diverge: SHAP additionally flags ['compliance_severity', 'dst_is_any'], LIME flags ['action_enc', 'dst_port_is_any']. Moderate reliability."
W3-085,,,,,0.4286,,,,0.5,0.7263,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_numeric']","['compliance_severity', 'priority_norm', 'confidence', 'semantic_score', 'src_is_any']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_port_numeric', 'reasoning_length']","['priority_norm', 'src_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_port_numeric', 'reasoning_length'], LIME flags ['priority_norm', 'src_is_any']. Moderate reliability."
W3-086,,,,,0.6667,,,,0.5,0.5416,,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_port_numeric']","['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score', 'priority_norm']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_port_numeric'],['priority_norm'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-087,,,,,0.6667,,,,0.5,0.5243,,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_is_any']","['compliance_severity', 'semantic_score', 'src_is_any', 'dst_is_any', 'confidence']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['reasoning_length'],['src_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-088,,,,,1.0,,,,0.5,0.7215,,"['confidence', 'semantic_score', 'compliance_severity', 'dst_is_any', 'dst_port_numeric']","['confidence', 'compliance_severity', 'semantic_score', 'dst_port_numeric', 'dst_is_any']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'dst_port_numeric', 'semantic_score']",[],[],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'dst_port_numeric', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-089,,,,,0.6667,,,,0.5,0.7287,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['semantic_score', 'dst_port_is_any', 'confidence', 'compliance_severity', 'reasoning_length']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_is_any'],['dst_port_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-090,,,,,0.6667,,,,0.5,0.5864,,"['confidence', 'compliance_severity', 'semantic_score', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'reasoning_length', 'dst_port_is_any', 'compliance_severity']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_is_any'],['dst_port_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-091,,,,,0.4286,,,,0.5,0.5388,,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_port_numeric']","['dst_is_any', 'compliance_severity', 'action_enc', 'confidence', 'reasoning_length']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length']","['dst_port_numeric', 'semantic_score']","['action_enc', 'dst_is_any']","Methods agree on ['compliance_severity', 'confidence', 'reasoning_length'] but diverge: SHAP additionally flags ['dst_port_numeric', 'semantic_score'], LIME flags ['action_enc', 'dst_is_any']. Moderate reliability."
W3-092,,,,,0.6667,,,,0.5,0.5345,,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_is_any']","['confidence', 'compliance_severity', 'semantic_score', 'action_enc', 'dst_is_any']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['reasoning_length'],['action_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-093,,,,,0.4286,,,,0.5,0.7154,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'src_port_is_any', 'compliance_severity', 'action_enc']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['action_enc', 'src_port_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['action_enc', 'src_port_is_any']. Moderate reliability."
W3-094,,,,,0.4286,,,,0.5,0.7174,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'syntax_valid', 'protocol_enc']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_port_numeric', 'reasoning_length']","['protocol_enc', 'syntax_valid']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_port_numeric', 'reasoning_length'], LIME flags ['protocol_enc', 'syntax_valid']. Moderate reliability."
W3-095,,,,,0.6667,,,,0.5,0.5791,,"['confidence', 'compliance_severity', 'semantic_score', 'reasoning_length', 'dst_is_any']","['confidence', 'compliance_severity', 'semantic_score', 'dst_is_any', 'syntax_valid']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['reasoning_length'],['syntax_valid'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-096,,,,,0.6667,,,,0.5,0.7239,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'reasoning_length', 'semantic_score', 'dst_port_is_any', 'compliance_severity']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_is_any'],['dst_port_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-097,,,,,0.4286,,,,0.5,0.5763,,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_is_any']","['compliance_severity', 'confidence', 'semantic_score', 'dst_port_numeric', 'direction_enc']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['direction_enc', 'dst_port_numeric']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['direction_enc', 'dst_port_numeric']. Moderate reliability."
W3-098,,,,,0.4286,,,,0.5,0.7239,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'compliance_severity', 'semantic_score', 'dst_port_is_any', 'priority_norm']",simulated,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['dst_port_is_any', 'priority_norm']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['dst_port_is_any', 'priority_norm']. Moderate reliability."
W3-099,,,,,0.6667,,,,0.5,0.7223,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'syntax_valid', 'reasoning_length']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_port_numeric'],['syntax_valid'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-100,,,,,0.6667,,,,0.5,0.7182,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_numeric']","['confidence', 'semantic_score', 'priority_norm', 'reasoning_length', 'compliance_severity']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_port_numeric'],['priority_norm'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-101,,,,,0.4286,,,,0.5,0.7215,,"['confidence', 'semantic_score', 'compliance_severity', 'dst_is_any', 'reasoning_length']","['confidence', 'dst_is_any', 'direction_enc', 'priority_norm', 'semantic_score']",simulated,PARTIAL_AGREEMENT,"['confidence', 'dst_is_any', 'semantic_score']","['compliance_severity', 'reasoning_length']","['direction_enc', 'priority_norm']","Methods agree on ['confidence', 'dst_is_any', 'semantic_score'] but diverge: SHAP additionally flags ['compliance_severity', 'reasoning_length'], LIME flags ['direction_enc', 'priority_norm']. Moderate reliability."
W3-102,,,,,0.6667,,,,0.5,0.5513,,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_port_numeric']","['compliance_severity', 'edge_case_count', 'semantic_score', 'dst_port_numeric', 'confidence']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score']",['reasoning_length'],['edge_case_count'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score'] as primary risk drivers. High explanation reliability."
W3-103,,,,,0.4286,,,,0.5,0.7154,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_is_any']","['confidence', 'semantic_score', 'edge_case_count', 'protocol_enc', 'reasoning_length']",simulated,PARTIAL_AGREEMENT,"['confidence', 'reasoning_length', 'semantic_score']","['compliance_severity', 'dst_is_any']","['edge_case_count', 'protocol_enc']","Methods agree on ['confidence', 'reasoning_length', 'semantic_score'] but diverge: SHAP additionally flags ['compliance_severity', 'dst_is_any'], LIME flags ['edge_case_count', 'protocol_enc']. Moderate reliability."
W3-104,,,,,0.6667,,,,0.5,0.7142,,"['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_numeric']","['confidence', 'compliance_severity', 'semantic_score', 'dst_port_numeric', 'priority_norm']",simulated,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score']",['reasoning_length'],['priority_norm'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score'] as primary risk drivers. High explanation reliability."
